target,response,RT,delta,orientation1,orientation2,orientation3,orientation4,x1,x2,x3,x4,y1,y2,y3,y4,ecc1,ecc2,ecc3,ecc4
1,0,944,0.4712,2.8136,1.5158,1.3909,0.9794,869,691,1054,1234,812,450,275,641,0.6877,0.9,0.6877,0.6877
0,0,679,0,0.3568,2.8679,1.5132,2.676,1228,853,707,1072,640,813,425,279,0.6877,0.9,0.9,0.9
1,1,344,1.437,1.3742,2.3442,1.47,2.7044,909,1231,1026,675,254,482,823,595,0.9,0.6877,0.9,0.9
4,1,623,1.4086,0.3099,2.3077,2.0022,0.232,769,759,1145,1163,751,340,328,725,0.6877,0.6877,0.6877,0.6877
4,0,442,2.4154,1.6363,0.6883,2.6464,2.0827,1214,847,702,1073,648,800,423,291,0.9,0.9,0.9,0.9
0,0,493,0,2.0761,1.1117,1.0907,0.7971,1052,683,880,1235,810,621,276,455,0.9,0.9,0.9,0.9
2,0,437,0.4363,1.4337,0.1503,2.3193,0.1194,1052,689,877,1232,807,615,274,471,0.6877,0.6877,0.9,0.6877
1,1,1592,2.2652,0.2858,1.7727,0.5887,1.6704,730,1143,1196,790,376,314,702,757,0.9,0.9,0.6877,0.9
3,1,644,2.056,2.9191,1.4664,0.798,1.3547,1231,1037,694,883,447,809,615,261,0.9,0.6877,0.9,0.9
0,0,399,0,0.763,2.6209,2.556,1.976,966,673,975,1232,821,539,254,539,0.9,0.6877,0.6877,0.6877
0,0,396,0,2.389,2.6872,1.2028,0.2659,1240,994,682,936,510,812,564,256,0.9,0.9,0.9,0.9
3,0,784,3.1218,2.1303,0.1649,2.517,2.1318,1054,685,867,1224,818,632,272,458,0.6877,0.6877,0.6877,0.9
0,1,574,0,0.445,1.3757,1.1008,1.5032,1100,1209,804,710,302,685,783,393,0.6877,0.6877,0.6877,0.9
1,1,675,1.6778,1.8037,1.5297,0.8238,1.8208,1151,761,775,1168,754,743,345,334,0.9,0.6877,0.9,0.9
4,0,436,2.1332,0.7553,2.1517,2.6366,3.0478,688,895,1243,1020,603,264,474,812,0.6877,0.6877,0.9,0.9
0,0,415,0,2.5981,0.9679,1.2641,2.7779,1225,1039,696,864,446,803,614,273,0.9,0.9,0.9,0.9
0,0,411,0,1.592,1.1978,0.204,1.1265,676,927,1241,992,558,270,521,816,0.9,0.6877,0.6877,0.6877
3,0,327,0.0036,0.5505,0.607,1.9365,0.8451,1066,1212,845,699,280,649,794,431,0.6877,0.9,0.6877,0.9
0,0,487,0,2.9268,2.4602,2.1541,1.4647,686,975,1253,933,513,253,556,824,0.6877,0.6877,0.9,0.6877
0,1,488,0,1.5648,1.5313,0.7209,0.2688,851,699,1073,1224,804,427,273,656,0.9,0.9,0.6877,0.6877
4,0,400,2.147,0.5867,0.7766,0.1702,1.9131,1236,920,681,1016,589,812,496,257,0.9,0.9,0.6877,0.6877
1,1,477,1.8918,1.8298,1.3226,0.2892,0.0755,955,1239,983,669,256,530,811,555,0.6877,0.6877,0.6877,0.9
0,0,246,0,1.1918,2.7164,1.3193,0.7536,1112,1186,800,719,314,712,762,379,0.6877,0.6877,0.9,0.6877
3,0,585,2.1241,0.2999,0.1118,2.7842,0.7758,939,677,986,1249,823,518,262,546,0.6877,0.6877,0.9,0.9
0,0,670,0,2.144,1.1251,3.1005,0.2639,684,969,1252,968,530,256,545,830,0.9,0.9,0.9,0.6877
0,1,896,0,2.3681,0.4145,1.1182,1.2437,1144,738,765,1173,759,732,318,358,0.6877,0.9,0.9,0.6877
1,1,664,0.7421,3.1341,1.6054,2.7442,0.2206,976,676,942,1253,832,563,246,509,0.9,0.6877,0.9,0.9
2,1,1162,1.6161,1.7184,1.266,0.3363,2.275,1143,1165,783,755,332,716,757,345,0.9,0.9,0.6877,0.9
0,0,312,0,1.1929,2.8413,2.1374,1.1901,1166,1158,746,761,348,754,736,320,0.6877,0.6877,0.6877,0.9
4,1,449,1.3826,1.9726,1.4149,1.4879,2.9836,817,709,1102,1199,781,405,305,691,0.9,0.6877,0.9,0.6877
0,0,403,0,0.1826,1.4381,2.2689,1.065,799,1195,1128,734,305,376,759,706,0.9,0.9,0.6877,0.9
3,1,480,2.0281,2.8688,2.0859,1.2227,2.3248,1228,845,694,1071,658,805,417,281,0.6877,0.9,0.6877,0.9
