target,response,RT,delta,orientation1,orientation2,orientation3,orientation4,x1,x2,x3,x4,y1,y2,y3,y4,ecc1,ecc2,ecc3,ecc4
0,0,424,0,1.0059,1.7388,1.1942,2.3569,990,677,924,1238,810,567,248,502,0.9,0.5788,0.9,0.9
0,0,539,0,1.5422,0.7081,2.4002,1.2717,1029,689,901,1223,807,612,256,481,0.9,0.5788,0.9,0.9
2,1,1034,2.5012,2.6658,1.3605,1.9031,1.1862,1243,1001,692,920,479,815,579,258,0.9,0.5788,0.9,0.5788
1,1,365,1.1418,0.5449,2.6907,1.8207,0.6341,1207,1099,720,825,401,790,657,298,0.9,0.9,0.5788,0.5788
0,0,883,0,1.7616,1.8011,0.9512,2.4299,925,684,983,1232,825,527,254,567,0.9,0.5788,0.5788,0.5788
0,0,621,0,0.7629,0.963,2.6201,1.6394,778,759,1147,1167,753,360,321,718,0.5788,0.5788,0.9,0.5788
4,1,624,0.5272,1.03,0.0747,0.0225,2.5244,668,937,1244,979,558,260,533,814,0.9,0.5788,0.9,0.9
0,0,515,0,2.9968,0.973,2.9264,0.5086,1045,685,876,1219,800,612,260,446,0.9,0.9,0.5788,0.9
1,0,1067,2.4659,1.2148,0.2043,1.3582,2.1669,971,1238,936,689,246,553,827,519,0.5788,0.9,0.9,0.5788
4,1,493,2.1122,3.116,1.9205,1.5174,0.7674,1012,689,921,1233,816,581,259,501,0.5788,0.5788,0.9,0.5788
0,1,1334,0,2.3622,0.0846,1.177,0.5865,756,1146,1157,775,355,338,736,739,0.9,0.5788,0.5788,0.9
4,0,989,2.3281,0.2471,0.976,1.0186,0.5557,687,950,1248,958,544,253,537,811,0.9,0.5788,0.5788,0.5788
0,0,450,0,1.6157,2.2042,1.174,1.929,707,1065,1234,861,448,263,646,807,0.9,0.5788,0.9,0.9
0,0,653,0,1.9656,0.6748,3.0561,1.6867,1195,811,706,1112,676,783,406,294,0.5788,0.5788,0.9,0.5788
1,1,727,1.848,1.07,1.8733,1.9242,0.2066,696,846,1218,1080,662,299,424,791,0.9,0.5788,0.5788,0.5788
0,0,1479,0,1.65,1.0045,2.4547,0.1977,1147,1175,761,747,334,748,732,346,0.5788,0.9,0.5788,0.9
2,0,536,2.9697,0.2096,2.9724,1.5602,0.2137,724,796,1195,1132,699,301,390,766,0.9,0.9,0.5788,0.9
4,1,511,1.1027,0.2901,2.1142,2.2319,3.0815,1022,692,901,1224,816,601,259,470,0.5788,0.5788,0.9,0.9
0,0,615,0,0.4034,0.6943,1.0305,1.0623,1161,759,739,1140,723,756,347,322,0.9,0.5788,0.5788,0.5788
0,0,723,0,0.2124,1.0659,1.5626,0.9796,1200,1094,714,825,409,789,683,299,0.5788,0.5788,0.5788,0.5788
0,0,1203,0,1.3941,0.9173,1.3698,2.1361,686,964,1234,952,533,255,538,814,0.5788,0.9,0.9,0.9
0,0,672,0,0.1554,2.1752,0.9214,2.3494,1009,1239,906,685,254,592,825,475,0.5788,0.9,0.9,0.5788
0,0,521,0,0.3448,1.8036,2.8964,3.0736,1113,723,793,1184,767,708,298,373,0.5788,0.9,0.9,0.5788
3,0,1072,2.3492,0.1592,1.2958,0.9791,1.3296,1112,728,819,1214,785,681,306,389,0.5788,0.9,0.5788,0.5788
4,0,473,2.9325,1.1255,1.3635,2.3029,3.1244,914,1237,992,677,253,509,828,578,0.9,0.9,0.9,0.5788
0,0,1299,0,2.8925,3.1157,1.7426,1.7932,680,922,1233,984,560,252,512,819,0.9,0.5788,0.5788,0.5788
0,0,603,0,1.6787,2.0147,1.0575,3.0861,1143,746,771,1161,752,727,326,366,0.9,0.5788,0.9,0.9
4,1,719,1.2618,1.0416,1.9017,2.4289,1.2115,694,884,1227,1042,632,266,456,816,0.9,0.5788,0.9,0.9
0,1,1799,0,1.371,1.9972,2.0895,1.1177,699,1084,1220,848,430,281,649,802,0.9,0.5788,0.5788,0.5788
0,0,515,0,2.8032,1.3213,2.3277,0.8403,688,959,1247,966,558,248,541,820,0.9,0.5788,0.9,0.5788
4,1,955,0.5108,1.5399,1.3972,1.2466,0.4772,1173,777,756,1154,723,754,352,346,0.5788,0.9,0.5788,0.9
3,1,506,1.7085,2.1112,2.5085,0.3157,1.642,860,707,1067,1219,800,446,273,631,0.5788,0.5788,0.5788,0.5788
4,1,481,0.8114,0.8393,2.9282,2.6336,0.0719,1029,692,906,1229,807,608,261,470,0.9,0.5788,0.5788,0.5788
4,1,483,1.9808,2.4492,1.8336,1.6304,0.9396,1222,1053,691,853,435,803,639,285,0.9,0.9,0.9,0.9
0,0,564,0,2.4175,0.6265,1.1092,0.6839,963,686,974,1241,812,541,258,548,0.9,0.5788,0.5788,0.9
0,0,666,0,1.4047,0.2344,0.3155,1.0563,691,1030,1237,876,460,268,608,820,0.5788,0.9,0.9,0.5788
3,1,548,1.7549,2.251,0.2547,2.3138,0.2631,1135,751,786,1187,768,727,314,355,0.5788,0.9,0.9,0.5788
1,1,875,2.3771,2.79,1.7886,2.6611,0.3978,685,884,1243,1046,608,259,457,803,0.9,0.5788,0.9,0.9
3,0,996,0.5498,2.5076,0.7472,1.8011,1.946,880,1243,1035,690,262,464,817,632,0.5788,0.9,0.5788,0.5788
0,0,1065,0,0.7268,2.9388,2.5344,0.1196,1022,673,916,1226,809,584,267,478,0.9,0.9,0.9,0.9
0,0,667,0,2.1411,1.1223,2.5184,1.8104,1219,1077,701,852,410,805,669,280,0.9,0.5788,0.5788,0.5788
1,1,797,1.3363,0.8205,3.097,1.3862,0.7077,713,856,1215,1072,647,284,421,793,0.5788,0.5788,0.9,0.5788
0,0,585,0,2.167,0.0827,2.9528,1.9683,749,777,1162,1150,718,336,343,748,0.5788,0.9,0.9,0.9
0,1,1415,0,0.3858,2.8754,0.5728,1.856,1228,840,706,1072,646,809,441,276,0.5788,0.5788,0.5788,0.9
1,0,875,2.4588,2.1936,2.7495,2.4158,0.8213,988,678,923,1252,818,565,266,506,0.5788,0.9,0.5788,0.5788
3,1,663,2.6966,1.8573,3.0929,2.661,3.0684,727,1123,1189,805,373,298,709,767,0.5788,0.9,0.9,0.5788
0,0,602,0,2.2735,1.3584,0.8214,0.595,678,899,1229,1032,594,267,486,824,0.5788,0.9,0.9,0.5788
2,0,862,0.688,1.0133,1.7625,0.7724,0.4225,673,931,1254,973,573,258,523,815,0.5788,0.5788,0.9,0.5788
0,0,1040,0,1.9442,2.558,0.0502,0.6734,989,690,942,1239,831,557,258,527,0.9,0.9,0.5788,0.9
